iter	Passed	Remaining
0	35	35235
1	75	37666
2	112	37308
3	140	35044
4	158	31588
5	192	31882
6	240	34124
7	281	34876
8	322	35492
9	352	34906
10	379	34152
11	389	32097
12	416	31658
13	458	32267
14	473	31083
15	507	31186
16	550	31805
17	587	32060
18	610	31510
19	640	31388
20	668	31182
21	703	31280
22	732	31112
23	761	30983
24	790	30822
25	817	30609
26	846	30517
27	879	30541
28	912	30552
29	940	30419
30	980	30664
31	1017	30775
32	1047	30700
33	1078	30651
34	1107	30533
35	1134	30380
36	1166	30350
37	1182	29933
38	1236	30456
39	1265	30375
40	1295	30306
41	1327	30282
42	1402	31218
43	1453	31573
44	1500	31841
45	1562	32404
46	1615	32758
47	1660	32932
48	1703	33063
49	1746	33186
50	1790	33315
51	1844	33633
52	1894	33844
53	1917	33584
54	1970	33853
55	2032	34261
56	2079	34409
57	2108	34251
58	2137	34098
59	2170	34005
60	2180	33568
61	2190	33147
62	2219	33010
63	2249	32903
64	2275	32738
65	2303	32591
66	2331	32460
67	2357	32313
68	2383	32165
69	2413	32062
70	2442	31960
71	2457	31675
72	2486	31572
73	2512	31435
74	2539	31320
75	2568	31223
76	2620	31409
77	2661	31460
78	2692	31394
79	2732	31420
80	2765	31375
81	2795	31292
82	2822	31188
83	2851	31093
84	2862	30818
85	2885	30671
86	2910	30545
87	2944	30515
88	2977	30476
89	3012	30460
90	3043	30398
91	3064	30244
92	3080	30042
93	3109	29965
94	3129	29809
95	3160	29756
96	3190	29705
97	3221	29650
98	3253	29614
99	3286	29579
100	3318	29536
101	3353	29527
102	3386	29496
103	3417	29446
104	3429	29234
105	3455	29141
106	3477	29019
107	3508	28974
108	3541	28945
109	3579	28962
110	3627	29051
111	3638	28850
112	3668	28799
113	3701	28770
114	3731	28718
115	3763	28679
116	3793	28632
117	3827	28610
118	3857	28556
119	3887	28506
120	3916	28451
121	3955	28466
122	3984	28411
123	4015	28364
124	4047	28332
125	4082	28317
126	4113	28279
127	4146	28245
128	4177	28204
129	4205	28145
130	4232	28076
131	4261	28021
132	4287	27950
133	4315	27892
134	4342	27825
135	4371	27773
136	4398	27705
137	4426	27650
138	4454	27594
139	4481	27527
140	4508	27468
141	4534	27396
142	4564	27354
143	4596	27323
144	4623	27264
145	4637	27127
146	4663	27058
147	4674	26907
148	4699	26841
149	4727	26789
150	4756	26744
151	4783	26689
152	4813	26645
153	4840	26591
154	4864	26521
155	4911	26570
156	4945	26556
157	4972	26501
158	5000	26451
159	5027	26393
160	5053	26337
161	5078	26268
162	5107	26228
163	5135	26178
164	5161	26122
165	5193	26090
166	5244	26161
167	5280	26152
168	5313	26129
169	5342	26086
170	5370	26037
171	5398	25988
172	5424	25931
173	5461	25924
174	5499	25927
175	5538	25929
176	5566	25880
177	5592	25825
178	5623	25791
179	5663	25801
180	5690	25750
181	5719	25705
182	5745	25650
183	5773	25606
184	5806	25581
185	5836	25541
186	5862	25486
187	5887	25430
188	5917	25390
189	5952	25378
190	5988	25362
191	6017	25325
192	6045	25280
193	6073	25231
194	6084	25117
195	6110	25063
196	6138	25021
197	6165	24974
198	6193	24930
199	6219	24878
200	6256	24870
201	6275	24792
202	6312	24784
203	6350	24780
204	6364	24681
205	6401	24672
206	6428	24628
207	6457	24588
208	6489	24560
209	6521	24533
210	6551	24498
211	6583	24469
212	6628	24489
213	6645	24408
214	6657	24307
215	6687	24274
216	6733	24296
217	6765	24267
218	6798	24244
219	6828	24211
220	6861	24186
221	6890	24148
222	6919	24109
223	6951	24081
224	6981	24048
225	7026	24064
226	7056	24030
227	7084	23987
228	7111	23944
229	7143	23914
230	7178	23897
231	7188	23795
232	7218	23762
233	7245	23719
234	7274	23682
235	7301	23635
236	7328	23592
237	7354	23546
238	7383	23510
239	7411	23469
240	7442	23438
241	7475	23413
242	7514	23408
243	7552	23399
244	7577	23351
245	7617	23349
246	7644	23304
247	7674	23270
248	7700	23224
249	7725	23175
250	7734	23081
251	7761	23038
252	7790	23003
253	7816	22956
254	7842	22912
255	7868	22868
256	7894	22824
257	7938	22830
258	7966	22792
259	7993	22750
260	8020	22708
261	8044	22660
262	8059	22584
263	8087	22545
264	8096	22457
265	8123	22416
266	8151	22377
267	8176	22332
268	8205	22297
269	8230	22253
270	8257	22211
271	8285	22175
272	8311	22132
273	8358	22147
274	8386	22109
275	8420	22088
276	8456	22071
277	8486	22039
278	8514	22003
279	8540	21960
280	8567	21922
281	8592	21877
282	8621	21842
283	8646	21800
284	8676	21767
285	8709	21744
286	8732	21695
287	8768	21678
288	8807	21668
289	8839	21642
290	8866	21602
291	8891	21559
292	8927	21541
293	8954	21502
294	8981	21463
295	9011	21433
296	9041	21402
297	9070	21367
298	9097	21328
299	9124	21290
300	9151	21251
301	9184	21228
302	9213	21195
303	9252	21182
304	9263	21107
305	9287	21064
306	9315	21027
307	9346	20998
308	9379	20973
309	9409	20944
310	9438	20909
311	9455	20850
312	9481	20809
313	9498	20752
314	9523	20710
315	9551	20673
316	9578	20636
317	9611	20613
318	9648	20597
319	9688	20588
320	9729	20579
321	9765	20562
322	9794	20528
323	9819	20488
324	9847	20452
325	9878	20424
326	9905	20385
327	9930	20345
328	9961	20317
329	9994	20291
330	10025	20263
331	10055	20232
332	10085	20200
333	10114	20169
334	10150	20149
335	10180	20118
336	10211	20088
337	10238	20053
338	10266	20017
339	10302	19998
340	10332	19968
341	10347	19908
342	10370	19863
343	10382	19799
344	10415	19774
345	10442	19737
346	10489	19739
347	10520	19710
348	10548	19676
349	10577	19643
350	10604	19607
351	10630	19569
352	10660	19538
353	10689	19506
354	10719	19475
355	10749	19445
356	10785	19425
357	10815	19395
358	10846	19366
359	10878	19339
360	10909	19311
361	10940	19281
362	10971	19253
363	11001	19221
364	11030	19189
365	11060	19159
366	11072	19097
367	11099	19062
368	11131	19034
369	11161	19004
370	11192	18975
371	11203	18913
372	11230	18878
373	11258	18845
374	11289	18815
375	11319	18786
376	11364	18780
377	11392	18746
378	11410	18697
379	11437	18661
380	11464	18626
381	11495	18597
382	11525	18566
383	11569	18559
384	11600	18530
385	11630	18500
386	11637	18433
387	11669	18405
388	11699	18376
389	11727	18343
390	11754	18307
391	11781	18273
392	11808	18238
393	11838	18208
394	11868	18178
395	11898	18148
396	11927	18117
397	11957	18087
398	12001	18077
399	12029	18044
400	12058	18012
401	12087	17980
402	12118	17952
403	12150	17925
404	12178	17892
405	12205	17857
406	12218	17802
407	12249	17773
408	12276	17740
409	12312	17717
410	12339	17683
411	12366	17649
412	12396	17619
413	12423	17585
414	12454	17556
415	12498	17546
416	12529	17517
417	12559	17486
418	12586	17452
419	12613	17419
420	12639	17383
421	12653	17330
422	12680	17297
423	12708	17264
424	12733	17228
425	12762	17195
426	12789	17161
427	12815	17127
428	12841	17091
429	12866	17055
430	12883	17008
431	12909	16974
432	12935	16939
433	12963	16905
434	12988	16870
435	13016	16837
436	13033	16791
437	13061	16759
438	13087	16724
439	13115	16692
440	13142	16658
441	13163	16618
442	13191	16585
443	13216	16550
444	13245	16519
445	13270	16484
446	13289	16440
447	13321	16413
448	13349	16381
449	13375	16347
450	13395	16306
451	13429	16281
452	13470	16266
453	13486	16219
454	13524	16199
455	13536	16148
456	13562	16114
457	13593	16086
458	13623	16056
459	13679	16058
460	13718	16040
461	13754	16017
462	13782	15985
463	13821	15966
464	13854	15940
465	13883	15909
466	13909	15875
467	13937	15843
468	13955	15800
469	13985	15771
470	14002	15726
471	14028	15693
472	14057	15662
473	14082	15627
474	14110	15596
475	14145	15572
476	14175	15542
477	14203	15510
478	14222	15469
479	14254	15442
480	14279	15407
481	14306	15374
482	14332	15341
483	14359	15308
484	14386	15276
485	14419	15249
486	14455	15227
487	14498	15211
488	14539	15193
489	14561	15156
490	14588	15123
491	14614	15089
492	14641	15057
493	14670	15026
494	14680	14977
495	14706	14943
496	14736	14914
497	14767	14885
498	14773	14833
499	14818	14818
500	14844	14785
501	14874	14755
502	14903	14726
503	14935	14698
504	14965	14669
505	14995	14639
506	15025	14610
507	15054	14580
508	15085	14552
509	15116	14524
510	15149	14496
511	15187	14475
512	15217	14446
513	15246	14416
514	15275	14385
515	15307	14358
516	15323	14315
517	15355	14287
518	15383	14257
519	15413	14227
520	15444	14199
521	15472	14167
522	15501	14137
523	15530	14107
524	15540	14060
525	15567	14028
526	15594	13996
527	15619	13962
528	15649	13933
529	15676	13901
530	15703	13869
531	15731	13839
532	15760	13808
533	15787	13777
534	15815	13746
535	15841	13713
536	15869	13682
537	15882	13639
538	15908	13606
539	15935	13574
540	15963	13543
541	15989	13511
542	16005	13470
543	16031	13437
544	16056	13404
545	16066	13359
546	16098	13332
547	16126	13301
548	16152	13269
549	16181	13239
550	16208	13207
551	16233	13174
552	16258	13142
553	16284	13110
554	16311	13078
555	16336	13045
556	16361	13013
557	16404	12994
558	16430	12961
559	16458	12931
560	16484	12899
561	16511	12868
562	16522	12824
563	16548	12793
564	16575	12761
565	16584	12716
566	16630	12700
567	16652	12664
568	16665	12623
569	16692	12592
570	16718	12561
571	16744	12529
572	16772	12498
573	16797	12466
574	16821	12433
575	16847	12401
576	16873	12370
577	16899	12338
578	16927	12308
579	16954	12277
580	16979	12244
581	17007	12215
582	17033	12183
583	17059	12151
584	17086	12121
585	17110	12088
586	17138	12058
587	17163	12026
588	17189	11994
589	17199	11952
590	17226	11921
591	17252	11890
592	17278	11858
593	17305	11828
594	17327	11794
595	17337	11752
596	17355	11715
597	17381	11684
598	17407	11653
599	17434	11623
600	17443	11580
601	17457	11541
602	17482	11510
603	17507	11478
604	17535	11448
605	17560	11417
606	17587	11386
607	17613	11356
608	17640	11325
609	17668	11296
610	17701	11269
611	17728	11239
612	17756	11209
613	17782	11179
614	17807	11147
615	17834	11117
616	17860	11086
617	17886	11056
618	17912	11025
619	17938	10994
620	17949	10954
621	17973	10922
622	17986	10884
623	18012	10853
624	18038	10822
625	18067	10794
626	18091	10762
627	18117	10731
628	18145	10702
629	18155	10662
630	18182	10632
631	18207	10601
632	18233	10571
633	18260	10541
634	18286	10510
635	18312	10480
636	18336	10449
637	18364	10419
638	18390	10389
639	18416	10359
640	18442	10329
641	18469	10299
642	18483	10261
643	18508	10231
644	18532	10200
645	18566	10174
646	18595	10145
647	18626	10118
648	18664	10094
649	18709	10074
650	18775	10065
651	18812	10041
652	18845	10014
653	18875	9986
654	18903	9956
655	18930	9927
656	18959	9898
657	18969	9859
658	18997	9830
659	19030	9803
660	19065	9777
661	19107	9755
662	19142	9730
663	19175	9703
664	19205	9674
665	19236	9647
666	19267	9619
667	19294	9589
668	19323	9560
669	19355	9533
670	19386	9505
671	19415	9476
672	19444	9447
673	19473	9418
674	19500	9389
675	19527	9359
676	19553	9329
677	19578	9298
678	19604	9268
679	19630	9238
680	19657	9207
681	19682	9177
682	19709	9147
683	19736	9117
684	19767	9090
685	19796	9061
686	19825	9032
687	19855	9004
688	19885	8975
689	19913	8946
690	19942	8917
691	19970	8888
692	19996	8858
693	20023	8828
694	20053	8800
695	20082	8771
696	20112	8743
697	20142	8714
698	20171	8686
699	20201	8657
700	20228	8628
701	20255	8598
702	20282	8568
703	20309	8539
704	20339	8510
705	20369	8482
706	20399	8454
707	20431	8426
708	20461	8398
709	20491	8369
